Ticker,Name,Sector,TargetWeight,Price,DollarWeight,Shares
NVDA,,,0.08234055521693356,182.41000366210938,0.08234055521693356,0.0004514037254747204
NVDA,,,0.08234055521693356,182.41000366210938,0.08234055521693356,0.0004514037254747204
NVDA,,,0.08234055521693356,182.41000366210938,0.08234055521693356,0.0004514037254747204
AAPL,,,0.07691028979885854,278.7799987792969,0.07691028979885854,0.0002758816634465462
AAPL,,,0.07691028979885854,278.7799987792969,0.07691028979885854,0.0002758816634465462
AAPL,,,0.07691028979885854,278.7799987792969,0.07691028979885854,0.0002758816634465462
MSFT,,,0.07153543525239651,483.1600036621094,0.07153543525239651,0.00014805744413898906
MSFT,,,0.07153543525239651,483.1600036621094,0.07153543525239651,0.00014805744413898906
MSFT,,,0.07153543525239651,483.1600036621094,0.07153543525239651,0.00014805744413898906
GOOGL,,,0.06693633290851665,321.2699890136719,0.06693633290851665,0.00020834916175649425
GOOGL,,,0.06693633290851665,321.2699890136719,0.06693633290851665,0.00020834916175649425
GOOGL,,,0.06693633290851665,321.2699890136719,0.06693633290851665,0.00020834916175649425
META,,,0.05823682606527401,673.4199829101562,0.05823682606527401,8.647920694839794e-05
META,,,0.05823682606527401,673.4199829101562,0.05823682606527401,8.647920694839794e-05
META,,,0.05823682606527401,673.4199829101562,0.05823682606527401,8.647920694839794e-05
TSLA,,,0.055632515099462515,455.0,0.055632515099462515,0.00012226926395486268
TSLA,,,0.055632515099462515,455.0,0.055632515099462515,0.00012226926395486268
TSLA,,,0.055632515099462515,455.0,0.055632515099462515,0.00012226926395486268
BRK-B,,,0.051642932343325766,504.3399963378906,0.051642932343325766,0.0001023970589648154
LLY,,,0.05158752147171275,1010.3099975585938,0.05158752147171275,5.106108184257663e-05
LLY,,,0.05158752147171275,1010.3099975585938,0.05158752147171275,5.106108184257663e-05
LLY,,,0.05158752147171275,1010.3099975585938,0.05158752147171275,5.106108184257663e-05
WMT,,,0.05158752147171275,115.11000061035156,0.05158752147171275,0.00044815846753695185
WMT,,,0.05158752147171275,115.11000061035156,0.05158752147171275,0.00044815846753695185
WMT,,,0.05158752147171275,115.11000061035156,0.05158752147171275,0.00044815846753695185
JPM,,,0.04926026486396631,315.0400085449219,0.04926026486396631,0.00015636193349373353
JPM,,,0.04926026486396631,315.0400085449219,0.04926026486396631,0.00015636193349373353
JPM,,,0.04926026486396631,315.0400085449219,0.04926026486396631,0.00015636193349373353
ORCL,,,0.04926026486396631,217.5800018310547,0.04926026486396631,0.00022640070065913342
ORCL,,,0.04926026486396631,217.5800018310547,0.04926026486396631,0.00022640070065913342
ORCL,,,0.04926026486396631,217.5800018310547,0.04926026486396631,0.00022640070065913342
JNJ,,,0.04593561256718568,201.92999267578125,0.04593561256718568,0.00022748286155261686
JNJ,,,0.04593561256718568,201.92999267578125,0.04593561256718568,0.00022748286155261686
XOM,,,0.04477198426331246,116.54000091552734,0.04477198426331246,0.0003841769685222923
XOM,,,0.04477198426331246,116.54000091552734,0.04477198426331246,0.0003841769685222923
XOM,,,0.04477198426331246,116.54000091552734,0.04477198426331246,0.0003841769685222923
NFLX,,,0.04455034077686042,100.23999786376953,0.04455034077686042,0.0004444367690171567
NFLX,,,0.04455034077686042,100.23999786376953,0.04455034077686042,0.0004444367690171567
NFLX,,,0.04455034077686042,100.23999786376953,0.04455034077686042,0.0004444367690171567
COST,,,0.04405164293234333,894.6799926757812,0.04405164293234333,4.923731758055195e-05
COST,,,0.04405164293234333,894.6799926757812,0.04405164293234333,4.923731758055195e-05
COST,,,0.04405164293234333,894.6799926757812,0.04405164293234333,4.923731758055195e-05
ABBV,,,0.04344212334460021,226.0800018310547,0.04344212334460021,0.0001921537641222406
ABBV,,,0.04344212334460021,226.0800018310547,0.04344212334460021,0.0001921537641222406
ABBV,,,0.04344212334460021,226.0800018310547,0.04344212334460021,0.0001921537641222406
PLTR,,,0.04061616889233668,181.75999450683594,0.04061616889233668,0.00022346044300088883
PLTR,,,0.04061616889233668,181.75999450683594,0.04061616889233668,0.00022346044300088883
PLTR,,,0.04061616889233668,181.75999450683594,0.04061616889233668,0.00022346044300088883
BAC,,,0.03779021444007314,53.95000076293945,0.03779021444007314,0.0007004673569167555
BAC,,,0.03779021444007314,53.95000076293945,0.03779021444007314,0.0007004673569167555
BAC,,,0.03779021444007314,53.95000076293945,0.03779021444007314,0.0007004673569167555
HD,,,0.03391145342716241,354.6099853515625,0.03391145342716241,9.563028348889384e-05
HD,,,0.03391145342716241,354.6099853515625,0.03391145342716241,9.563028348889384e-05
HD,,,0.03391145342716241,354.6099853515625,0.03391145342716241,9.563028348889384e-05
