ticker,original_forms,created_date,source
SEDG,SEDG,2025-12-28 12:37:49,WAVE_WEIGHTS
SGOV,SGOV,2025-12-28 12:37:49,WAVE_WEIGHTS
SHM,SHM,2025-12-28 12:37:49,WAVE_WEIGHTS
SHY,SHY,2025-12-28 12:37:49,WAVE_WEIGHTS
SMH,SMH,2025-12-28 12:37:49,WAVE_WEIGHTS
SNOW,SNOW,2025-12-28 12:37:49,WAVE_WEIGHTS
SNX-USD,SNX-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
SOL-USD,SOL-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
SPY,SPY,2025-12-28 12:37:49,WAVE_WEIGHTS
STETH-USD,stETH-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
STX-USD,STX-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
SUB,SUB,2025-12-28 12:37:49,WAVE_WEIGHTS
TAN,TAN,2025-12-28 12:37:49,WAVE_WEIGHTS
TAO-USD,TAO-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
TFI,TFI,2025-12-28 12:37:49,WAVE_WEIGHTS
TLT,TLT,2025-12-28 12:37:49,WAVE_WEIGHTS
TSLA,TSLA,2025-12-28 12:37:49,WAVE_WEIGHTS
TSM,TSM,2025-12-28 12:37:49,WAVE_WEIGHTS
UNH,UNH,2025-12-28 12:37:49,WAVE_WEIGHTS
UNI-USD,UNI-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
UNP,UNP,2025-12-28 12:37:49,WAVE_WEIGHTS
VBK,VBK,2025-12-28 12:37:49,WAVE_WEIGHTS
VGT,VGT,2025-12-28 12:37:49,WAVE_WEIGHTS
VMC,VMC,2025-12-28 12:37:49,WAVE_WEIGHTS
VTV,VTV,2025-12-28 12:37:49,WAVE_WEIGHTS
VTWO,VTWO,2025-12-28 12:37:49,WAVE_WEIGHTS
VYM,VYM,2025-12-28 12:37:49,WAVE_WEIGHTS
WMT,WMT,2025-12-28 12:37:49,WAVE_WEIGHTS
XLE,XLE,2025-12-28 12:37:49,WAVE_WEIGHTS
XLI,XLI,2025-12-28 12:37:49,WAVE_WEIGHTS
XOM,XOM,2025-12-28 12:37:49,WAVE_WEIGHTS
XRP-USD,XRP-USD,2025-12-28 12:37:49,WAVE_WEIGHTS
ZS,ZS,2025-12-28 12:37:49,WAVE_WEIGHTS
